industry_slug,industry_name,industry_description,industry_sort_order,industry_function_slug,industry_function_name,industry_function_description,industry_function_sort_order,vendor_slug,vendor_name,vendor_logo_url,vendor_logo_asset,vendor_summary,vendor_sort_order,product_slug,product_name,product_family,integration_status,integration_type,integration_api_url,product_summary,product_sort_order,is_visible,internal_notes,asset_data_available,telemetry_data_available,writeback_supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,plm-engineering,PLM & Engineering,"Engineering, digital thread, and lifecycle management systems for industrial products and assets.",70,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,comos-web-rest-api,COMOS Web REST API,COMOS,built,OpenAPI,https://developer.siemens.com/comos/comos-rest-apispec.json,"REST-style, HTTP-based API used to interact with COMOS data and to access COMOS features.",10,TRUE,source_key=siemens-developer-portal; source_product_line_slug=comos; source_product_line_name=COMOS; scraped_source=https://developer.siemens.com/comos/overview.html; integration_api_url=https://developer.siemens.com/comos/comos-rest-apispec.json; tags=comos,Supported,Not Supported,Supported
healthcare,Healthcare,"Clinical equipment, biomedical systems, and operational coordination APIs.",20,patient-engagement,Patient Engagement,"Patient communication, intake, and digital engagement systems.",80,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,nurse-call-system-api,Nurse Call System API,Nurse Call System,built,OpenAPI,https://developer.siemens.com/nurse-call-system/nursecallsystem-api-spec.yaml,The Nurse Call System API lets you integrate your Nurse Call System into Ward Manager so that advanced communication designed to enhance patient care and safety within healthcare facilities are reflected into Ward Manger.,30,TRUE,source_key=siemens-developer-portal; source_product_line_slug=nurse-call-system; source_product_line_name=Nurse Call System; scraped_source=https://developer.siemens.com/nurse-call-system/overview.html; integration_api_url=https://developer.siemens.com/nurse-call-system/nursecallsystem-api-spec.yaml; tags=nurse-call-system-api,Not Supported,Supported,Supported
manufacturing,Manufacturing,"Industrial automation, asset telemetry, edge systems, and operational workflows.",10,supply-chain,Supply Chain,"Planning, sourcing, and supply coordination systems that keep materials and production aligned.",40,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,battery-passport-rest-api,Battery Passport REST API,Battery Passport,built,OpenAPI,https://developer.siemens.com/battery-passport/postman-collection.json,The Battery Passport platform offers a rest API in order to provide data exchange in a standardized and self-described way.,50,FALSE,source_key=siemens-developer-portal; source_product_line_slug=battery-passport; source_product_line_name=Battery Passport; scraped_source=https://developer.siemens.com/battery-passport/overview.html; integration_api_url=https://developer.siemens.com/battery-passport/postman-collection.json; tags=battery-passport,Supported,,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,building-operations-api,Building Operations API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/building-operations/operations.openapi.yaml,RESTful API for reading data from data points or issuing commands to actuator points.,60,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/building-operations/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/building-operations/operations.openapi.yaml; tags=,Supported,Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,building-operations,Building Operations,"Connected building control, occupancy, and operations systems.",10,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,building-structure-api,Building Structure API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/building-structure/structure.openapi.yaml,RESTful API for creating and managing a structural representation of your buildings.,70,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/building-structure/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/building-structure/structure.openapi.yaml; tags=,Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,accounts-api,Accounts API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/accounts-api/accounts.openapi.yaml,"RESTful API for discovering customer, partition, role, and user group access.",80,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/accounts-api/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/accounts-api/accounts.openapi.yaml; tags=,Not Supported,Not Supported,Not Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,fire-api,Fire API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/fire/fire.openapi.yaml,RESTful API for reading fire events of your site.,90,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/fire/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/fire/fire.openapi.yaml; tags=,Not Supported,Supported,Not Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,activities-api,Activities API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/activities-v1/activities.openapi.yaml,"RESTful API for retrieving events, alarms, and user operations produced by access system and security manager services.",100,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/activities-v1/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/activities-v1/activities.openapi.yaml; tags=,Not Supported,Supported,Not Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,security-identities-and-privileges-api,Security Identities and Privileges API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/security-api/piam-v1/security.openapi.yaml,RESTful API for creating and managing Identities and assigning configured privileges to an identity.,110,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/security-api/piam-v1/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/security-api/piam-v1/security.openapi.yaml; tags=,Not Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,security-workflow-api,Security Workflow API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/security-api/security-workflow-v1/security.workflow.openapi.yaml,RESTful API for listing available workflows and creating new workflow instances.,120,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/security-api/security-workflow-v1/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/security-api/security-workflow-v1/security.workflow.openapi.yaml; tags=,Not Supported,Not Supported,Supported
commercial-buildings,Commercial Buildings,"Building operations, energy, security, and visitor workflows for connected facilities.",40,security-access,Security & Access,"Security, access, and visitor management platforms.",30,siemens,Siemens,,,"Siemens industrial software, infrastructure, transportation, healthcare, and building platform APIs exposed through the Siemens developer ecosystem.",10,security-intrusion-api,Security Intrusion API,Building X,built,OpenAPI,https://developer.siemens.com/building-x-openness/api/security-api/security-intrusion-v1/security.intrusion.openapi.yaml,RESTful API for information about all cloud-enabled Intrusion systems.,130,TRUE,source_key=siemens-developer-portal; source_product_line_slug=building-x-openness; source_product_line_name=Building X; scraped_source=https://developer.siemens.com/building-x-openness/api/security-api/security-intrusion-v1/overview.html; integration_api_url=https://developer.siemens.com/building-x-openness/api/security-api/security-intrusion-v1/security.intrusion.openapi.yaml; tags=,Supported,Supported,Not Supported
